Fabricante,Descripción,Datos,Precio_£,Ciudad
DS DS 3 CABRIO,1.2 PureTech Elegance Cabriolet (110 ps),"39,088 miles
2017 reg
Manual
Petrol","£7,060",Nationwide delivery available
Mini Hatch,1.5 Cooper (136 ps),"66,640 miles
2015 reg
Manual
Petrol","£7,061",Nationwide delivery available
Kia Picanto,1.0L 2 5D 66 BHP,"55,872 miles
2020 reg
Manual
Petrol","£7,079",Stevenage
Skoda Yeti,2.0 TDI SE Euro 5 (110 ps),"56,907 miles
2012 reg
Manual
Diesel","£7,082",Nationwide delivery available
Nissan Qashqai,1.2 DIG-T n-tec+ 2WD (115 ps),"77,431 miles
2015 reg
Manual
Petrol","£7,103",Nationwide delivery available
Fiat 500,1.2 Star (69 bhp),"70,013 miles
2020 reg
Manual
Petrol","£7,140",Nationwide delivery available
Vauxhall Corsa,1.4i ecoTEC Griffin (75 ps),"47,735 miles
2018 reg
Manual
Petrol","£7,163",Nationwide delivery available
Peugeot 308,1.2L S/S ACTIVE 5D 129 BHP,"37,211 miles
2018 reg
Manual
Petrol","£7,179",Stevenage
Citroen C4 Cactus,C4 Cactus Feel PureTech S/S,"73,175 miles
2019 reg
Manual
Petrol","£7,200",Watford
Ford Fiesta,1.0T EcoBoost Zetec S (140 ps),"41,551 miles
2016 reg
Manual
Petrol","£7,232",Nationwide delivery available
Vauxhall Mokka,Mokka 1.4i Turbo SE SUV 5dr Petrol Auto 2WD Euro 6 (140 ps),"76,829 miles
2015 reg
Automatic
Petrol","£7,250",Reading
Toyota AYGO,AYGO S-SENSE X-STYLE VVT-I,"40,449 miles
2017 reg
Manual
Petrol","£7,250",Watford
Vauxhall Viva,1.0L SE AC 5d 74 BHP,"19,234 miles
2018 reg
Manual
Petrol","£7,250",Watford
Toyota Yaris,Icon,"41,534 miles
2015 reg
Manual
Petrol","£7,250",Sunderland
Citroen C4 Cactus,1.6 BlueHDi Flair (100 ps),"44,129 miles
2016 reg
Manual
Diesel","£7,269",Nationwide delivery available
Kia Picanto,1.0L 2 5D 66 BHP,"39,366 miles
2018 reg
Manual
Petrol","£7,279",Stevenage
Suzuki Celerio,SZ4,"26,565 miles
2017 reg
Manual
Petrol","£7,295",Sheffield
Dacia Sandero Stepway,SE Summit,"60,371 miles
2018 reg
Manual
Petrol","£7,295",Darlington
Vauxhall ADAM,1.2i Energised,"52,978 miles
2018 reg
Manual
Petrol","£7,298+ £159 admin fee",Sheffield
Skoda Citigo,1.0 MPI Colour Edition,"38,000 miles
2018 reg
Manual
Petrol","£7,298+ £159 admin fee",Birmingham
BMW i3,125kW Auto,"67,060 miles
2015 reg
Automatic
Electric","£7,298+ £159 admin fee",Preston
Suzuki Celerio,1.0 Dualjet SZ3,"20,795 miles
2019 reg
Manual
Petrol","£7,298+ £159 admin fee",Newcastle
Ford Fiesta,1.5 STYLE TDCI 5d 85 BHP,"72,602 miles
2018 reg
Manual
Diesel","£7,300",Peterborough
Fiat 500X,1.6 MULTIJET CROSS 5d 120 BHP,"63,556 miles
2017 reg
Manual
Diesel","£7,300",Peterborough
Ford C-Max,C-Max Titanium T,"68,010 miles
2016 reg
Manual
Petrol","£7,300",Peterborough
Fiat 500,1.2 Star (69 bhp),"66,173 miles
2020 reg
Manual
Petrol","£7,330",Nationwide delivery available
Kia Picanto,2,"31,700 miles
2012 reg
Automatic
Petrol","£7,350",Newcastle
Toyota AYGO,1.0 VVT-i x-play (71 ps),"57,350 miles
2019 reg
Manual
Petrol","£7,353",Nationwide delivery available
Volkswagen Polo,1.2 TSI BlueMotion Tech SE (90 ps),"73,449 miles
2015 reg
Manual
Petrol","£7,379",Nationwide delivery available
Peugeot 308,1.5L BLUEHDI S/S ACTIVE 5D 129 BHP,"68,384 miles
2019 reg
Manual
Diesel","£7,379",Stevenage
Ford Fiesta,1.5 TDCi Zetec (75 ps),"35,043 miles
2016 reg
Manual
Diesel","£7,388",Nationwide delivery available
Citroen C3,1.2 PureTech Feel (83 ps),"62,428 miles
2020 reg
Manual
Petrol","£7,394",Nationwide delivery available
Vauxhall Insignia,2.0 SRI NAV VX-LINE CDTI ECOFLEX S/S 5d 167 BHP,"67,771 miles
2016 reg
Manual
Diesel","£7,400",Peterborough
Peugeot 308,S/S ALLURE,"35,374 miles
2015 reg
Manual
Petrol","£7,400",Watford
Toyota AYGO,1.0L VVT-I X-STYLE 5d 69 BHP,"44,313 miles
2017 reg
Manual
Petrol","£7,400",Watford
Vauxhall Crossland X,Elite,"87,668 miles
2019 reg
Manual
Petrol","£7,425",Darlington
